11:28:22.889 [main] INFO  c.browserstack.BrowserStackJavaAgent - Selenium version detected - 4.1.4
11:28:22.890 [main] INFO  c.browserstack.BrowserStackJavaAgent - Appium version detected - 
11:28:22.976 [main] DEBUG c.b.config.BrowserStackConfig - Cli Config passed - {}
11:28:22.977 [main] INFO  c.browserstack.utils.UtilityMethods - BrowserStack Yml Detected : /Users/gokul.kuppan/Downloads/testng-browserstack-master 2/browserstack.yml
11:28:23.000 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
11:28:23.006 [main] INFO  c.b.config.BrowserStackConfig - Setting value of testObservability as specified in your browserstack.yml to true
11:28:28.533 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
11:28:32.516 [main] INFO  c.browserstack.BrowserStackJavaAgent - Project and debug logs are captured by default. To disable, set disableAutoCaptureLogs: true in config.
11:28:33.883 [main] INFO  c.browserstack.BrowserStackJavaAgent - Starting BrowserStack Local......
11:28:43.937 [main] INFO  com.browserstack.LocalFactory - BrowserStack Local Started Successfully.
11:31:05.110 [Thread-0] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/fceyfbsief8ei9vzglnyhaef7ou6jl7cjqjkyvzj to view build report, insights, and many more debugging information all at one place!

11:31:05.110 [Thread-0] INFO  c.b.config.BrowserStackConfig - INFO
11:31:11.718 [Thread-0] INFO  c.browserstack.utils.UtilityMethods - View build on BrowserStack dashboard: https://automate.browserstack.com/dashboard/v2/builds/3aedbb6d66c906a8134abfd13f243606f88f4ca7
11:31:11.718 [Thread-0] INFO  c.b.config.BrowserStackConfig - INFO
